district,season,crop,soil,area,rainfall,temperature,yield
Kancheepuram,Kharif,Groundnut,Alluvial,8.92,198.1,27.5,1.61
Namakkal,Kharif,Banana,Black,6.52,191.1,24.0,4.77
Namakkal,Rabi,Cotton,Loamy,10.97,159.6,32.5,0.57
Thoothukudi,Summer,Coconut,Loamy,3.52,107.0,22.8,3.63
Thoothukudi,Rabi,Chilli,Alluvial,3.49,127.8,32.1,3.0
Tiruppur,Summer,Banana,Black,9.11,22.7,32.8,3.69
Cuddalore,Summer,Cotton,Black,4.18,49.1,35.3,1.13
Cuddalore,Rabi,Sugarcane,Black,2.87,109.6,30.6,5.35
Erode,Kharif,Chilli,Black,1.65,226.4,25.2,1.81
Vellore,Rabi,Ragi,Clay,3.12,22.4,39.7,1.31
Dindigul,Rabi,Cotton,Alluvial,8.55,119.6,25.1,1.13
Dindigul,Summer,Banana,Alluvial,5.19,25.9,23.8,4.5
Thoothukudi,Summer,Banana,Loamy,2.07,14.6,23.6,4.26
Madurai,Rabi,Chilli,Clay,11.06,107.1,35.0,2.36
Thanjavur,Rabi,Chilli,Clay,4.56,65.5,21.7,3.43
Namakkal,Rabi,Chilli,Clay,2.53,37.1,35.8,1.75
Salem,Summer,Soybean,Alluvial,7.52,39.2,25.7,1.67
Cuddalore,Kharif,Turmeric,Clay,4.98,169.2,29.4,5.67
Tirunelveli,Kharif,Banana,Clay,2.0,309.5,23.9,4.0
Erode,Rabi,Groundnut,Alluvial,10.04,64.1,25.4,2.13
Thanjavur,Summer,Ragi,Clay,1.09,71.1,40.8,1.39
Tiruppur,Kharif,Black Gram,Loamy,1.57,157.4,19.3,0.63
Tiruppur,Kharif,Green Gram,Loamy,8.32,91.1,21.8,0.96
Tiruppur,Summer,Soybean,Alluvial,5.72,32.3,35.3,0.52
Tirunelveli,Rabi,Maize,Loamy,7.29,52.2,27.3,2.94
Madurai,Kharif,Coconut,Loamy,3.8,93.5,38.2,2.27
Vellore,Kharif,Soybean,Clay,10.31,116.3,40.6,0.68
Cuddalore,Kharif,Coconut,Loamy,1.91,113.9,37.3,2.88
Madurai,Summer,Maize,Black,1.65,72.0,39.6,1.99
Madurai,Summer,Coconut,Alluvial,8.81,103.2,22.3,3.48
Coimbatore,Kharif,Maize,Clay,11.59,61.4,20.2,2.79
Cuddalore,Kharif,Sunflower,Alluvial,5.81,294.1,33.0,1.24
Cuddalore,Kharif,Sesame,Red,6.11,113.0,20.6,0.94
Tiruppur,Kharif,Cotton,Clay,11.48,185.4,31.0,1.21
Thoothukudi,Summer,Sesame,Loamy,5.28,109.5,38.6,0.15
Namakkal,Summer,Sugarcane,Clay,1.81,69.6,25.8,5.76
Coimbatore,Rabi,Millets,Alluvial,10.19,76.9,38.8,1.07
Coimbatore,Rabi,Turmeric,Red,9.28,130.7,25.7,4.68
Namakkal,Rabi,Rice,Clay,2.42,99.2,37.1,2.69
Thanjavur,Rabi,Sugarcane,Loamy,0.79,87.6,30.0,5.6
Kancheepuram,Kharif,Banana,Loamy,8.1,134.8,20.8,5.06
Tiruppur,Rabi,Banana,Loamy,4.44,22.9,30.2,4.04
Vellore,Kharif,Millets,Red,9.34,217.0,40.9,0.78
Tiruppur,Kharif,Banana,Loamy,5.5,66.8,32.4,4.45
Thoothukudi,Summer,Coconut,Black,2.35,36.2,28.9,2.55
Kancheepuram,Kharif,Millets,Red,3.63,72.3,29.2,2.16
Tirunelveli,Kharif,Sugarcane,Black,7.35,273.6,38.1,5.05
Kancheepuram,Kharif,Green Gram,Clay,7.95,312.3,33.0,0.67
Coimbatore,Kharif,Turmeric,Black,5.55,210.3,32.4,4.33
Vellore,Rabi,Green Gram,Clay,11.08,119.0,41.7,0.8
Cuddalore,Summer,Banana,Red,10.42,82.3,20.0,4.26
Kancheepuram,Summer,Chilli,Alluvial,1.75,70.4,35.7,2.02
Namakkal,Summer,Chilli,Loamy,6.67,97.0,24.5,2.69
Namakkal,Kharif,Sesame,Loamy,3.88,232.1,24.8,0.49
Madurai,Kharif,Sugarcane,Loamy,9.96,206.4,33.9,5.89
Tiruppur,Summer,Soybean,Black,8.94,98.0,30.6,1.74
Madurai,Rabi,Groundnut,Red,10.79,49.0,29.1,1.7
Coimbatore,Rabi,Sesame,Black,1.49,147.0,18.3,0.67
Salem,Kharif,Sunflower,Black,8.96,92.2,30.7,1.54
Dindigul,Summer,Maize,Clay,6.52,74.0,25.4,3.7
Tirunelveli,Rabi,Black Gram,Alluvial,3.76,98.0,26.5,1.41
Vellore,Kharif,Groundnut,Red,11.62,160.1,26.4,2.44
Trichy,Rabi,Rice,Clay,1.72,33.8,23.3,3.49
Thanjavur,Summer,Banana,Alluvial,8.79,52.5,34.7,3.3
Erode,Rabi,Turmeric,Loamy,7.92,113.4,30.4,3.41
Salem,Kharif,Sunflower,Loamy,2.28,248.2,40.8,0.68
Tirunelveli,Summer,Green Gram,Red,9.75,50.9,33.1,1.14
Thoothukudi,Kharif,Millets,Alluvial,7.13,265.7,39.5,1.05
Tirunelveli,Summer,Cotton,Clay,8.73,59.5,24.4,1.32
Thanjavur,Summer,Ragi,Clay,10.66,50.9,31.1,1.38
Dindigul,Summer,Coconut,Red,3.11,69.6,36.1,2.38
Coimbatore,Summer,Rice,Alluvial,10.58,71.8,32.3,3.02
Vellore,Kharif,Ragi,Alluvial,7.79,235.9,28.9,1.21
Vellore,Summer,Chilli,Alluvial,0.62,67.2,23.5,3.14
Salem,Rabi,Soybean,Alluvial,8.3,47.3,33.8,1.04
Coimbatore,Summer,Cotton,Red,9.02,34.5,37.7,1.26
Thoothukudi,Summer,Sugarcane,Black,11.01,99.8,28.0,5.87
Madurai,Summer,Black Gram,Alluvial,3.43,71.3,27.3,1.25
Villupuram,Rabi,Groundnut,Clay,9.36,68.4,28.2,1.58
Cuddalore,Kharif,Ragi,Alluvial,10.24,272.3,41.8,0.85
Salem,Kharif,Green Gram,Alluvial,3.25,69.8,33.1,0.96
Dindigul,Summer,Coconut,Black,6.29,97.9,26.7,4.19
Erode,Rabi,Maize,Clay,1.08,133.8,39.0,1.91
